INSERT INTO Person VALUES
('9238336990', 'Aiden', 'Martinez', '1988-10-17', 'J602702370', '8365220741', 'Canadian', 'aidenmartinez04@gmail.com', '4771 Willow Court'),
('1784182987', 'Samuel', 'Martinez', '1954-5-25', 'V398286679', '2286908185', 'Canadian', 'samuelmartinez49@gmail.com', '5585 Elm Lane'),
('8918040091', 'Ava', 'Lopez', '1999-6-4', 'O871526490', '4984872559', 'Canadian', 'avalopez61@gmail.com', '5585 Elm Lane'),
('6275450013', 'Jacob', 'Hill', '2003-2-3', 'Z559350344', '8772333244', 'Canadian', 'jacobhill64@gmail.com', '5516 Pine Avenue'),
('5565782679', 'Aria', 'Miller', '1996-10-6', 'Y104411149', '3181178590', 'Canadian', 'ariamiller59@gmail.com', '9133 Magnolia Court'),
('9703060431', 'Riley', 'Hall', '1989-7-24', 'T465480513', '7661270446', 'Canadian', 'rileyhall54@gmail.com', '4771 Willow Court'),
('3691272482', 'Harper', 'Davis', '2012-7-24', 'D706612789', '4707361361', 'Canadian', 'harperdavis44@gmail.com', '6191 Spruce Avenue'),
('3915749961', 'Michael', 'Parker', '1976-1-20', 'N590377455', '7665305636', 'Canadian', 'michaelparker29@gmail.com', '0218 Maple Lane'),
('9928448292', 'Daniel', 'Green', '1978-2-24', 'E636525412', '6308009356', 'Canadian', 'danielgreen47@gmail.com', '0223 Birch Avenue'),
('8158429807', 'Samuel', 'Lewis', '1997-10-19', 'A935492139', '4934451323', 'Canadian', 'samuellewis84@gmail.com', '8782 Hickory Court'),
('1426065987', 'Carter', 'Edwards', '1967-6-23', 'R759113946', '7493545746', 'Canadian', 'carteredwards53@gmail.com', '0223 Birch Avenue'),
('1691215012', 'Mason', 'Hill', '1959-7-7', 'W556547769', '9236645615', 'Canadian', 'masonhill16@gmail.com', '9104 Spruce Circle'),
('3162483453', 'Victoria', 'Garcia', '1943-8-1', 'B155546566', '7125585629', 'Canadian', 'victoriagarcia31@gmail.com', '0860 Cedar Street'),
('3196549109', 'James', 'Wilson', '2015-8-5', 'O201912801', '7114051545', 'Canadian', 'jameswilson04@gmail.com', '2270 Hickory Lane'),
('5868298937', 'James', 'Garcia', '2011-4-25', 'T804894908', '4691160130', 'Canadian', 'jamesgarcia92@gmail.com', '4522 Oak Road'),
('9277043964', 'Elizabeth', 'Davis', '1965-5-19', 'U788988707', '2956200040', 'Canadian', 'elizabethdavis04@gmail.com', '0223 Birch Avenue'),
('6767355370', 'Charlotte', 'Allen', '1975-1-20', 'C358326155', '4617812254', 'Canadian', 'charlotteallen77@gmail.com', '2629 Birch Terrace'),
('9354633210', 'Oliver', 'Scott', '2008-3-14', 'V751036078', '9577612821', 'Canadian', 'oliverscott64@gmail.com', '7402 Cedar Terrace'),
('8860492593', 'Lily', 'Davis', '1963-5-21', 'Z565411907', '5851121677', 'Canadian', 'lilydavis29@gmail.com', '5585 Elm Lane'),
('4281974328', 'Emily', 'Miller', '1978-9-14', 'M189178192', '2644968897', 'Canadian', 'emilymiller31@gmail.com', '4522 Oak Road'),
('3467109284', 'Harper', 'Lopez', '1971-3-24', 'X177179837', '9050060422', 'Canadian', 'harperlopez90@gmail.com', '3756 Oak Boulevard'),
('0075102268', 'Harper', 'Wilson', '1961-8-19', 'J523281990', '2981598797', 'Canadian', 'harperwilson84@gmail.com', '0071 Magnolia Boulevard'),
('3031883115', 'Olivia', 'Nelson', '1978-7-7', 'C257117761', '7992424530', 'Canadian', 'olivianelson99@gmail.com', '0071 Magnolia Boulevard'),
('0426367809', 'Elizabeth', 'Campbell', '1988-1-10', 'F795068962', '4370675680', 'Canadian', 'elizabethcampbell52@gmail.com', '4325 Willow Lane'),
('2387940179', 'Joseph', 'Parker', '1991-10-5', 'I541546585', '5846983316', 'Canadian', 'josephparker48@gmail.com', '4033 Magnolia Drive'),
('3361769187', 'James', 'Lee', '1952-5-13', 'O185694767', '9843714137', 'Canadian', 'jameslee67@gmail.com', '9133 Magnolia Court'),
('3214799544', 'Evelyn', 'Phillips', '1996-11-20', 'H898899455', '6394181799', 'Canadian', 'evelynphillips87@gmail.com', '0218 Maple Lane'),
('2711787635', 'Victoria', 'Perez', '1941-7-1', 'W065857729', '9440396637', 'Canadian', 'victoriaperez08@gmail.com', '2375 Oak Way'),
('9432554193', 'Emma', 'Clark', '2008-3-14', 'K312042571', '9247395929', 'Canadian', 'emmaclark43@gmail.com', '0223 Birch Avenue'),
('6310707026', 'Samuel', 'Brown', '2010-8-18', 'O045229133', '4334235524', 'Canadian', 'samuelbrown54@gmail.com', '2770 Oak Court'),
('7346425445', 'Liam', 'Martinez', '1950-8-8', 'O964082548', '5145600623', 'Canadian', 'liammartinez12@gmail.com', '4325 Willow Lane'),
('3960809145', 'Elizabeth', 'Walker', '2004-7-1', 'T213438013', '7377573983', 'Canadian', 'elizabethwalker95@gmail.com', '4771 Willow Court'),
('4574080462', 'Henry', 'Adams', '1951-3-13', 'T783661508', '2892149564', 'Canadian', 'henryadams79@gmail.com', '5516 Pine Avenue'),
('1762937054', 'Lucas', 'Nelson', '1958-9-5', 'W028268533', '3063703777', 'Canadian', 'lucasnelson91@gmail.com', '4325 Willow Lane'),
('6136030656', 'Joseph', 'Turner', '2004-1-13', 'C991610931', '6400297141', 'Canadian', 'josephturner75@gmail.com', '9180 Elm Road'),
('5541160131', 'Liam', 'Lee', '2004-10-10', 'M937308326', '7254660630', 'Canadian', 'liamlee29@gmail.com', '2061 Oak Terrace'),
('2147395906', 'Benjamin', 'Green', '1973-11-4', 'P318892398', '9595017411', 'Canadian', 'benjamingreen62@gmail.com', '2629 Birch Terrace'),
('9318446289', 'William', 'Martin', '1999-10-2', 'Y551617665', '8025300779', 'Canadian', 'williammartin05@gmail.com', '0428 Oak Street'),
('4476589157', 'Scarlett', 'Anderson', '1971-1-20', 'X517697979', '7679519667', 'Canadian', 'scarlettanderson23@gmail.com', '8933 Pine Court'),
('6850122548', 'Avery', 'Edwards', '1958-8-19', 'R324536071', '5022164205', 'Canadian', 'averyedwards81@gmail.com', '0218 Maple Lane'),
('5959573908', 'Samuel', 'Anderson', '1966-8-6', 'U635120424', '4294578196', 'Canadian', 'samuelanderson08@gmail.com', '0860 Cedar Street'),
('9659352188', 'Charlotte', 'Anderson', '1944-3-3', 'T819145294', '9199035068', 'Canadian', 'charlotteanderson77@gmail.com', '4033 Magnolia Drive');


