INSERT INTO lives_in VALUES
('6786 Hickory Terrace', '3226899243', '1986-6-8', '2024-4-14', 'Primary'),
('9671 Pine Street', '2262166010', '2022-8-24', '2022-10-2', 'Secondary'),
('5725 Maple Court', '6492215564', '2023-10-21', '2023-11-3', 'Secondary'),
('9671 Pine Street', '2522129852', '2019-11-24', '2020-4-18', 'Secondary'),
('5725 Maple Court', '1285928430', '2019-8-9', '2023-9-17', 'Secondary'),
('3397 Oak Way', '5444848306', '2017-8-23', '2023-10-18', 'Secondary'),
('5125 Pine Court', '4720482082', '2015-5-23', '2018-7-25', 'Secondary'),
('1214 Pine Circle', '5160690566', '2021-8-2', '2021-8-4', 'Secondary'),
('9634 Pine Road', '4755840758', '2018-10-22', '2022-11-1', 'Secondary'),
('4360 Spruce Drive', '3666399046', '2016-6-23', '2017-1-18', 'Secondary'),
('5125 Pine Court', '3909667556', '2016-6-26', '2019-8-23', 'Secondary'),
('9634 Pine Road', '3909667556', '2020-1-3', '2021-4-16', 'Secondary'),
('5593 Cedar Avenue', '5467963788', '2022-5-21', '2023-11-12', 'Secondary'),
('7177 Oak Boulevard', '4250418933', '2018-5-6', '2023-7-8', 'Secondary'),
('5880 Elm Avenue', '1723172987', '2017-7-17', '2023-11-17', 'Secondary'),
('9090 Birch Lane', '5444848306', '2015-3-23', '2021-7-7', 'Secondary'),
('9671 Pine Street', '8572988700', '2020-1-2', '2021-7-16', 'Secondary'),
('5125 Pine Court', '2507633668', '2022-6-23', '2023-4-8', 'Secondary'),
('5349 Hickory Circle', '4250418933', '2015-5-25', '2018-8-14', 'Secondary'),
('1866 Pine Boulevard', '3226899243', '2022-3-12', '2022-4-13', 'Secondary'),
('5725 Maple Court', '8812359867', '2020-8-5', '2021-11-3', 'Secondary'),
('5593 Cedar Avenue', '8321192120', '2016-11-23', '2017-6-3', 'Secondary'),
('5593 Cedar Avenue', '8824086172', '2019-5-11', '2023-1-24', 'Secondary'),
('1214 Pine Circle', '5444848306', '2019-10-7', '2019-10-12', 'Secondary'),
('2535 Pine Drive', '3507453007', '2023-8-4', '2023-10-24', 'Secondary'),
('8906 Cedar Lane', '5881546595', '2021-2-1', '2022-5-24', 'Secondary'),
('5593 Cedar Avenue', '4300438829', '2017-8-20', '2021-10-2', 'Secondary'),
('3961 Elm Circle', '8321192120', '2015-1-13', '2022-7-3', 'Secondary'),
('5593 Cedar Avenue', '4755840758', '2022-6-24', '2023-8-27', 'Secondary'),
('5880 Elm Avenue', '5444848306', '2017-5-27', '2021-7-17', 'Secondary'),
('3961 Elm Circle', '1299122299', '2018-6-16', '2023-5-26', 'Secondary'),
('6333 Oak Drive', '3666399046', '2023-6-3', '2023-6-5', 'Secondary'),
('1214 Pine Circle', '1723172987', '2016-9-8', '2016-9-18', 'Secondary'),
('1866 Pine Boulevard', '8812359867', '2017-11-17', '2021-11-5', 'Secondary'),
('3961 Elm Circle', '4755840758', '2021-1-27', '2021-5-22', 'Secondary'),
('9090 Birch Lane', '3166258351', '2020-2-17', '2022-7-3', 'Secondary'),
('8906 Cedar Lane', '8824086172', '2019-1-12', '2022-9-6', 'Secondary'),
('5125 Pine Court', '3632796341', '2016-6-21', '2018-2-5', 'Secondary'),
('3397 Oak Way', '3507453007', '2019-2-15', '2020-10-7', 'Secondary'),
('2535 Pine Drive', '4300438829', '2021-9-7', '2022-9-12', 'Secondary'),
('1866 Pine Boulevard', '1299122299', '2015-8-22', '2021-6-8', 'Secondary');


INSERT INTO lives_in VALUES
('7876 Birch Road', '8094954866', '2001-10-27', '2024-4-14', 'Primary'),
('1425 Oak Boulevard', '8094954866', '2022-10-17', '2024-4-14', 'Primary'),
('2749 Pine Court', '8094954866', '1986-4-11', '2024-4-14', 'Primary'),
('7896 Magnolia Circle', '3300043764', '1990-10-16', '2024-4-14', 'Primary'),
('0871 Hickory Lane', '8094954866', '2000-9-3', '2024-4-14', 'Primary'),
('1425 Oak Boulevard', '2714693217', '2022-11-19', '2023-8-21', 'Secondary'),
('2749 Pine Court', '5163030269', '2018-10-9', '2022-4-1', 'Secondary'),
('7896 Magnolia Circle', '0932808224', '2019-7-27', '2019-10-24', 'Secondary'),
('1425 Oak Boulevard', '5163030269', '2023-6-14', '2023-8-27', 'Secondary'),
('7876 Birch Road', '7044913131', '2020-2-4', '2023-7-14', 'Secondary'),
('2749 Pine Court', '5178233671', '2022-11-3', '2023-3-5', 'Secondary'),
('7896 Magnolia Circle', '8546515655', '2016-9-3', '2017-8-12', 'Secondary'),
('1425 Oak Boulevard', '6563785610', '2023-1-3', '2023-2-24', 'Secondary'),
('7896 Magnolia Circle', '0310063745', '2023-7-27', '2023-8-21', 'Secondary'),
('7876 Birch Road', '9998929572', '2020-6-27', '2022-11-9', 'Secondary'),
('1425 Oak Boulevard', '9998929572', '2016-9-8', '2017-3-19', 'Secondary'),
('7876 Birch Road', '8964721784', '2017-10-10', '2020-5-26', 'Secondary'),
('7896 Magnolia Circle', '7320148869', '2019-7-19', '2020-11-23', 'Secondary'),
('7876 Birch Road', '2664382238', '2019-8-9', '2023-3-6', 'Secondary'),
('1425 Oak Boulevard', '4144910030', '2022-4-8', '2022-4-12', 'Secondary'),
('7896 Magnolia Circle', '1068678506', '2016-6-16', '2020-2-7', 'Secondary'),
('1425 Oak Boulevard', '1068678506', '2020-9-23', '2021-1-17', 'Secondary'),
('1425 Oak Boulevard', '2664382238', '2017-2-1', '2022-9-10', 'Secondary'),
('1425 Oak Boulevard', '9126207758', '2022-5-8', '2022-9-26', 'Secondary'),
('7896 Magnolia Circle', '1068678506', '2016-11-1', '2021-11-2', 'Secondary'),
('7876 Birch Road', '7320148869', '2015-2-24', '2021-3-22', 'Secondary'),
('7876 Birch Road', '8981946936', '2016-8-24', '2021-10-15', 'Secondary'),
('7896 Magnolia Circle', '3225425988', '2015-7-8', '2021-1-7', 'Secondary'),
('7896 Magnolia Circle', '9949230438', '2020-2-24', '2023-4-25', 'Secondary'),
('7896 Magnolia Circle', '8964721784', '2016-8-10', '2019-3-21', 'Secondary'),
('7896 Magnolia Circle', '2664382238', '2016-10-25', '2022-9-14', 'Secondary'),
('1425 Oak Boulevard', '9126207758', '2016-9-10', '2022-7-2', 'Secondary'),
('7896 Magnolia Circle', '9949230438', '2022-8-23', '2023-11-8', 'Secondary'),
('7876 Birch Road', '1896676535', '2023-10-22', '2023-11-27', 'Secondary'),
('7896 Magnolia Circle', '0393704595', '2015-7-7', '2015-8-18', 'Secondary'),
('7876 Birch Road', '6659284859', '2016-1-10', '2017-3-19', 'Secondary'),
('7876 Birch Road', '6128668468', '2019-2-4', '2020-2-26', 'Secondary'),
('7876 Birch Road', '7044913131', '2017-8-16', '2018-10-26', 'Secondary'),
('7876 Birch Road', '3300043764', '2015-10-23', '2022-11-21', 'Secondary'),
('7896 Magnolia Circle', '0932808224', '2015-6-16', '2020-1-21', 'Secondary'),
('7876 Birch Road', '2722608335', '2017-8-11', '2021-7-24', 'Secondary'),
('7896 Magnolia Circle', '5178233671', '2020-10-15', '2023-9-27', 'Secondary'),
('7896 Magnolia Circle', '7235947780', '2021-1-23', '2021-7-24', 'Secondary'),
('1425 Oak Boulevard', '7235947780', '2021-2-26', '2022-2-23', 'Secondary'),
('7876 Birch Road', '3963031843', '2016-3-17', '2023-3-5', 'Secondary'),
('7896 Magnolia Circle', '4144910030', '2015-8-27', '2022-11-3', 'Secondary'),
('7896 Magnolia Circle', '1896676535', '2018-4-15', '2022-7-25', 'Secondary'),
('7876 Birch Road', '8546515655', '2019-8-18', '2019-8-26', 'Secondary'),
('1425 Oak Boulevard', '2714693217', '2022-1-11', '2022-1-19', 'Secondary'),
('1425 Oak Boulevard', '0393704595', '2019-7-21', '2022-7-22', 'Secondary'),
('1425 Oak Boulevard', '8964721784', '2016-10-20', '2020-1-19', 'Secondary'),
('7896 Magnolia Circle', '9210637040', '2021-3-3', '2021-3-20', 'Secondary'),
('7896 Magnolia Circle', '3300043764', '2022-3-19', '2023-6-3', 'Secondary'),
('1425 Oak Boulevard', '6659284859', '2020-11-26', '2022-10-10', 'Secondary'),
('1425 Oak Boulevard', '5163030269', '2017-1-22', '2020-11-20', 'Secondary'),
('7896 Magnolia Circle', '0932808224', '2018-2-10', '2021-4-24', 'Secondary'),
('2749 Pine Court', '4353138840', '2018-8-13', '2018-10-7', 'Secondary'),
('7896 Magnolia Circle', '4344192985', '2015-2-18', '2022-6-9', 'Secondary'),
('7876 Birch Road', '9126207758', '2020-4-21', '2023-8-6', 'Secondary'),
('7896 Magnolia Circle', '7324365127', '2022-6-27', '2023-5-22', 'Secondary'),
('7876 Birch Road', '0932808224', '2023-7-24', '2023-9-8', 'Secondary'),
('7876 Birch Road', '3963031843', '2020-10-2', '2020-10-4', 'Secondary'),
('2749 Pine Court', '6128668468', '2021-10-19', '2022-10-21', 'Secondary'),
('7876 Birch Road', '2722608335', '2015-11-8', '2023-9-2', 'Secondary'),
('2749 Pine Court', '8981946936', '2016-6-20', '2021-4-19', 'Secondary'),
('7896 Magnolia Circle', '9949230438', '2022-6-2', '2023-7-5', 'Secondary'),
('7896 Magnolia Circle', '2457259077', '2017-10-8', '2023-11-1', 'Secondary'),
('7896 Magnolia Circle', '5178233671', '2019-8-12', '2022-3-17', 'Secondary'),
('7896 Magnolia Circle', '3300043764', '2020-4-14', '2023-8-24', 'Secondary'),
('2749 Pine Court', '9313292941', '2022-8-7', '2022-9-24', 'Secondary'),
('2749 Pine Court', '1068678506', '2018-1-10', '2021-6-19', 'Secondary'),
('7896 Magnolia Circle', '9210637040', '2020-6-26', '2021-11-25', 'Secondary'),
('7896 Magnolia Circle', '8546515655', '2017-11-27', '2023-5-11', 'Secondary'),
('7876 Birch Road', '9949230438', '2019-4-26', '2023-6-3', 'Secondary'),
('1425 Oak Boulevard', '6128668468', '2015-6-26', '2023-11-3', 'Secondary'),
('2749 Pine Court', '3300043764', '2021-4-1', '2023-8-14', 'Secondary'),
('2749 Pine Court', '1068678506', '2016-2-20', '2019-7-4', 'Secondary'),
('2749 Pine Court', '2664382238', '2023-11-25', '2023-11-27', 'Secondary'),
('7876 Birch Road', '7958363392', '2015-1-21', '2018-4-20', 'Secondary'),
('7876 Birch Road', '1068678506', '2020-6-24', '2021-11-3', 'Secondary');

INSERT INTO lives_in VALUES
('4366 Pine Street', '3569924728', '1990-9-6', '2024-4-14', 'Primary'),
('3760 Spruce Circle', '4052712744', '2023-8-19', '2024-4-14', 'Primary'),
('4682 Oak Lane', '1443373382', '2003-8-9', '2024-4-14', 'Primary'),
('8635 Cedar Road', '3569924728', '1989-9-26', '2024-4-14', 'Primary'),
('0522 Hickory Street', '4052712744', '2002-6-16', '2024-4-14', 'Primary'),
('4682 Oak Lane', '3569924728', '2021-1-21', '2022-5-23', 'Secondary'),
('3760 Spruce Circle', '3950511877', '2020-9-16', '2022-5-22', 'Secondary'),
('8635 Cedar Road', '3569924728', '2022-8-9', '2023-10-19', 'Secondary'),
('3760 Spruce Circle', '6272712308', '2019-5-27', '2020-6-15', 'Secondary'),
('4682 Oak Lane', '2512577296', '2015-11-15', '2017-11-13', 'Secondary'),
('8635 Cedar Road', '0337685180', '2019-2-8', '2022-3-1', 'Secondary'),
('8635 Cedar Road', '4830245179', '2022-8-24', '2023-8-2', 'Secondary'),
('4682 Oak Lane', '0350135205', '2018-2-19', '2021-6-21', 'Secondary'),
('8635 Cedar Road', '6320633210', '2021-6-13', '2021-11-13', 'Secondary'),
('4366 Pine Street', '0337685180', '2021-3-24', '2022-2-12', 'Secondary'),
('4366 Pine Street', '1716906036', '2019-11-4', '2021-5-21', 'Secondary'),
('4682 Oak Lane', '2512577296', '2015-6-17', '2019-6-22', 'Secondary'),
('3760 Spruce Circle', '5915182282', '2018-3-21', '2020-4-4', 'Secondary'),
('4366 Pine Street', '5018694255', '2021-7-22', '2021-10-25', 'Secondary'),
('4682 Oak Lane', '6249286518', '2023-3-24', '2023-5-19', 'Secondary'),
('4682 Oak Lane', '9194149552', '2019-6-25', '2020-7-25', 'Secondary'),
('4682 Oak Lane', '3950511877', '2015-2-20', '2021-5-6', 'Secondary'),
('4366 Pine Street', '4830245179', '2016-8-15', '2020-8-10', 'Secondary'),
('8635 Cedar Road', '6652564859', '2023-8-8', '2023-8-10', 'Secondary'),
('3760 Spruce Circle', '5573328161', '2022-10-18', '2023-11-1', 'Secondary'),
('4682 Oak Lane', '3950511877', '2015-10-24', '2019-11-10', 'Secondary'),
('4682 Oak Lane', '3569924728', '2018-6-24', '2020-10-9', 'Secondary'),
('8635 Cedar Road', '4910376787', '2020-9-1', '2022-4-1', 'Secondary'),
('3760 Spruce Circle', '3104919510', '2023-1-17', '2023-4-23', 'Secondary'),
('8635 Cedar Road', '1716906036', '2016-9-7', '2020-3-22', 'Secondary'),
('3760 Spruce Circle', '4910376787', '2018-6-10', '2023-3-6', 'Secondary'),
('4366 Pine Street', '5863183492', '2023-6-17', '2023-9-11', 'Secondary'),
('4682 Oak Lane', '3086371319', '2023-3-6', '2023-6-12', 'Secondary'),
('4366 Pine Street', '3359391897', '2017-8-26', '2022-9-23', 'Secondary'),
('4682 Oak Lane', '1949986047', '2022-5-27', '2023-5-14', 'Secondary'),
('4682 Oak Lane', '3086371319', '2019-2-4', '2021-11-20', 'Secondary'),
('4682 Oak Lane', '5573328161', '2019-3-9', '2022-4-21', 'Secondary'),
('4682 Oak Lane', '5340319591', '2017-10-9', '2018-11-5', 'Secondary'),
('8635 Cedar Road', '9194149552', '2022-9-21', '2022-10-3', 'Secondary'),
('4366 Pine Street', '8586347856', '2015-4-16', '2016-1-8', 'Secondary'),
('3760 Spruce Circle', '3950511877', '2015-9-18', '2023-5-7', 'Secondary'),
('4682 Oak Lane', '3569924728', '2015-5-26', '2021-6-3', 'Secondary'),
('8635 Cedar Road', '8594519592', '2022-5-17', '2023-2-10', 'Secondary'),
('4682 Oak Lane', '1716906036', '2021-4-16', '2023-7-7', 'Secondary'),
('3760 Spruce Circle', '9583051109', '2021-2-23', '2023-7-27', 'Secondary'),
('8635 Cedar Road', '8745744125', '2020-2-19', '2021-9-10', 'Secondary'),
('8635 Cedar Road', '2512577296', '2019-2-4', '2022-2-26', 'Secondary'),
('3760 Spruce Circle', '5994435120', '2022-5-25', '2023-5-24', 'Secondary'),
('4682 Oak Lane', '5573328161', '2023-3-20', '2023-7-23', 'Secondary'),
('4682 Oak Lane', '5299066743', '2022-5-5', '2023-2-9', 'Secondary'),
('4366 Pine Street', '6652564859', '2016-10-6', '2017-7-24', 'Secondary'),
('3760 Spruce Circle', '2512577296', '2016-6-27', '2022-2-8', 'Secondary'),
('3760 Spruce Circle', '6249286518', '2019-2-22', '2020-7-12', 'Secondary'),
('4366 Pine Street', '5915182282', '2021-5-18', '2022-3-16', 'Secondary'),
('3760 Spruce Circle', '6652564859', '2018-6-26', '2023-3-16', 'Secondary'),
('8635 Cedar Road', '3950511877', '2019-3-27', '2023-6-8', 'Secondary'),
('8635 Cedar Road', '9209594403', '2019-8-22', '2022-1-10', 'Secondary'),
('3760 Spruce Circle', '5552767514', '2017-3-4', '2023-11-27', 'Secondary'),
('3760 Spruce Circle', '1558791163', '2020-3-4', '2021-1-2', 'Secondary'),
('4682 Oak Lane', '1716906036', '2020-7-11', '2021-3-11', 'Secondary'),
('4682 Oak Lane', '1949986047', '2016-6-17', '2016-10-24', 'Secondary'),
('3760 Spruce Circle', '5552767514', '2021-3-2', '2023-4-5', 'Secondary'),
('4366 Pine Street', '8745744125', '2015-10-3', '2020-2-15', 'Secondary'),
('8635 Cedar Road', '3086371319', '2016-8-2', '2022-3-19', 'Secondary'),
('3760 Spruce Circle', '4830245179', '2017-11-10', '2020-9-25', 'Secondary'),
('4366 Pine Street', '8586347856', '2018-4-26', '2023-7-16', 'Secondary'),
('4366 Pine Street', '1949986047', '2015-1-13', '2017-5-10', 'Secondary'),
('4682 Oak Lane', '5340319591', '2022-6-7', '2023-9-8', 'Secondary'),
('4366 Pine Street', '6320633210', '2015-6-14', '2015-10-15', 'Secondary'),
('4366 Pine Street', '0350135205', '2019-4-13', '2020-4-16', 'Secondary'),
('4366 Pine Street', '9583051109', '2020-5-8', '2020-6-12', 'Secondary'),
('8635 Cedar Road', '4910376787', '2023-1-25', '2023-10-5', 'Secondary'),
('4682 Oak Lane', '3086371319', '2019-3-15', '2023-9-3', 'Secondary'),
('3760 Spruce Circle', '3086371319', '2016-3-13', '2022-7-27', 'Secondary'),
('4366 Pine Street', '8586347856', '2015-11-2', '2018-4-17', 'Secondary'),
('8635 Cedar Road', '5863183492', '2020-5-25', '2023-2-4', 'Secondary'),
('4682 Oak Lane', '0350135205', '2022-9-3', '2023-3-6', 'Secondary'),
('4682 Oak Lane', '9209594403', '2015-8-16', '2015-8-19', 'Secondary'),
('4366 Pine Street', '0265771031', '2020-10-16', '2022-1-15', 'Secondary'),
('8635 Cedar Road', '3359391897', '2016-1-2', '2020-11-2', 'Secondary');

INSERT INTO lives_in VALUES
('2379 Maple Court', '4335596528', '1970-4-13', '2024-4-14', 'Primary'),
('3169 Spruce Terrace', '4335596528', '1974-2-8', '2024-4-14', 'Primary'),
('1313 Cedar Boulevard', '2121477485', '2005-3-9', '2024-4-14', 'Primary'),
('7553 Cedar Street', '6383587659', '2012-8-20', '2024-4-14', 'Primary'),
('9500 Pine Street', '2121477485', '1997-3-15', '2024-4-14', 'Primary'),
('7553 Cedar Street', '5102129830', '2023-5-26', '2023-8-17', 'Secondary'),
('2379 Maple Court', '4881718717', '2015-6-26', '2016-8-27', 'Secondary'),
('3169 Spruce Terrace', '3322711866', '2018-7-13', '2023-11-14', 'Secondary'),
('1313 Cedar Boulevard', '8354814785', '2021-1-26', '2022-3-25', 'Secondary'),
('7553 Cedar Street', '0140154381', '2023-11-15', '2023-11-24', 'Secondary'),
('1313 Cedar Boulevard', '0839088385', '2015-5-26', '2018-9-26', 'Secondary'),
('3169 Spruce Terrace', '6126954945', '2021-11-2', '2022-9-21', 'Secondary'),
('7553 Cedar Street', '6655745934', '2021-5-9', '2021-11-26', 'Secondary'),
('1313 Cedar Boulevard', '4881718717', '2017-7-4', '2020-6-5', 'Secondary'),
('2379 Maple Court', '0339530450', '2017-8-20', '2018-11-9', 'Secondary'),
('3169 Spruce Terrace', '8354814785', '2021-5-12', '2023-7-27', 'Secondary'),
('2379 Maple Court', '9233630482', '2020-10-16', '2021-4-19', 'Secondary'),
('7553 Cedar Street', '5102129830', '2018-1-24', '2023-7-13', 'Secondary'),
('3169 Spruce Terrace', '6976362346', '2018-7-4', '2022-9-9', 'Secondary'),
('2379 Maple Court', '4881718717', '2022-7-6', '2023-1-22', 'Secondary'),
('1313 Cedar Boulevard', '3406379345', '2017-4-21', '2021-4-26', 'Secondary'),
('1313 Cedar Boulevard', '5840963572', '2020-2-4', '2022-1-16', 'Secondary'),
('2379 Maple Court', '1641405594', '2021-7-15', '2021-11-24', 'Secondary'),
('2379 Maple Court', '6126954945', '2018-3-24', '2020-5-5', 'Secondary'),
('7553 Cedar Street', '5840963572', '2020-6-26', '2022-5-19', 'Secondary'),
('1313 Cedar Boulevard', '5840963572', '2023-5-23', '2023-6-2', 'Secondary'),
('1313 Cedar Boulevard', '0140154381', '2016-11-8', '2019-2-23', 'Secondary'),
('7553 Cedar Street', '7924235768', '2022-9-26', '2023-3-8', 'Secondary'),
('1313 Cedar Boulevard', '4335596528', '2016-4-27', '2019-9-20', 'Secondary'),
('7553 Cedar Street', '4881718717', '2017-9-8', '2020-4-27', 'Secondary'),
('2379 Maple Court', '6383587659', '2021-3-5', '2022-1-24', 'Secondary'),
('1313 Cedar Boulevard', '4882994413', '2022-5-13', '2022-8-7', 'Secondary'),
('2379 Maple Court', '9969941654', '2015-10-13', '2022-9-21', 'Secondary'),
('2379 Maple Court', '5840963572', '2023-1-24', '2023-4-12', 'Secondary'),
('1313 Cedar Boulevard', '0947804540', '2018-7-27', '2022-10-5', 'Secondary'),
('2379 Maple Court', '0329068470', '2020-2-7', '2023-9-5', 'Secondary'),
('2379 Maple Court', '4292433946', '2016-3-26', '2023-8-11', 'Secondary'),
('3169 Spruce Terrace', '4881718717', '2021-9-3', '2022-9-22', 'Secondary'),
('3169 Spruce Terrace', '4335596528', '2023-8-5', '2023-9-23', 'Secondary'),
('2379 Maple Court', '3406379345', '2023-10-2', '2023-10-15', 'Secondary'),
('2379 Maple Court', '9969941654', '2017-10-23', '2023-2-27', 'Secondary'),
('3169 Spruce Terrace', '1641405594', '2019-8-7', '2022-10-18', 'Secondary'),
('2379 Maple Court', '4995155368', '2022-7-11', '2023-8-4', 'Secondary'),
('7553 Cedar Street', '6972402056', '2020-4-8', '2020-8-3', 'Secondary'),
('7553 Cedar Street', '3322711866', '2020-10-14', '2021-2-27', 'Secondary'),
('3169 Spruce Terrace', '4882994413', '2020-1-25', '2020-5-24', 'Secondary'),
('3169 Spruce Terrace', '7067487209', '2022-7-24', '2022-10-11', 'Secondary'),
('7553 Cedar Street', '1471985654', '2023-7-3', '2023-11-20', 'Secondary'),
('1313 Cedar Boulevard', '1641405594', '2021-7-22', '2023-9-8', 'Secondary'),
('2379 Maple Court', '7489725664', '2016-6-2', '2021-1-24', 'Secondary'),
('1313 Cedar Boulevard', '7067487209', '2021-10-13', '2022-2-7', 'Secondary'),
('1313 Cedar Boulevard', '7700979265', '2021-10-9', '2022-4-2', 'Secondary'),
('7553 Cedar Street', '5606614296', '2015-10-14', '2023-11-26', 'Secondary'),
('1313 Cedar Boulevard', '8354814785', '2020-6-4', '2021-3-13', 'Secondary'),
('3169 Spruce Terrace', '0839088385', '2023-9-4', '2023-11-8', 'Secondary'),
('3169 Spruce Terrace', '0339530450', '2021-10-20', '2023-8-5', 'Secondary'),
('7553 Cedar Street', '9233630482', '2019-10-10', '2023-1-20', 'Secondary'),
('3169 Spruce Terrace', '0339530450', '2017-7-12', '2019-10-1', 'Secondary'),
('7553 Cedar Street', '5631940884', '2018-8-10', '2019-8-18', 'Secondary'),
('1313 Cedar Boulevard', '1278244679', '2017-11-27', '2022-11-11', 'Secondary'),
('2379 Maple Court', '7700979265', '2020-11-14', '2023-10-6', 'Secondary'),
('2379 Maple Court', '0947804540', '2015-7-18', '2016-5-13', 'Secondary'),
('7553 Cedar Street', '6976362346', '2021-7-27', '2023-7-23', 'Secondary'),
('3169 Spruce Terrace', '6976362346', '2022-6-8', '2022-8-21', 'Secondary'),
('3169 Spruce Terrace', '7067487209', '2020-3-21', '2023-2-13', 'Secondary'),
('7553 Cedar Street', '0839088385', '2023-3-10', '2023-5-16', 'Secondary'),
('2379 Maple Court', '7924235768', '2016-2-17', '2019-5-20', 'Secondary'),
('2379 Maple Court', '7700979265', '2015-5-24', '2016-8-23', 'Secondary'),
('2379 Maple Court', '7924235768', '2017-11-7', '2023-5-12', 'Secondary'),
('7553 Cedar Street', '5102129830', '2015-10-20', '2016-3-15', 'Secondary'),
('7553 Cedar Street', '3406379345', '2023-11-24', '2023-11-27', 'Secondary'),
('2379 Maple Court', '6126954945', '2020-2-17', '2020-6-26', 'Secondary'),
('3169 Spruce Terrace', '5102129830', '2018-5-15', '2023-7-5', 'Secondary'),
('1313 Cedar Boulevard', '8354814785', '2016-9-4', '2021-6-12', 'Secondary'),
('1313 Cedar Boulevard', '0329068470', '2019-6-21', '2020-2-16', 'Secondary'),
('3169 Spruce Terrace', '6126954945', '2021-11-12', '2023-11-11', 'Secondary'),
('7553 Cedar Street', '0339530450', '2020-9-27', '2022-11-9', 'Secondary'),
('2379 Maple Court', '4335596528', '2022-4-24', '2023-9-14', 'Secondary'),
('7553 Cedar Street', '9969941654', '2016-1-3', '2019-4-12', 'Secondary'),
('1313 Cedar Boulevard', '6976362346', '2023-5-27', '2023-10-13', 'Secondary');

INSERT INTO lives_in VALUES
('1559 Pine Circle', '5846970571', '1974-1-17', '2024-4-14', 'Primary'),
('5456 Maple Street', '8850709801', '2013-10-20', '2024-4-14', 'Primary'),
('9432 Birch Avenue', '8850709801', '2011-1-9', '2024-4-14', 'Primary'),
('6544 Pine Terrace', '5846970571', '2014-6-3', '2024-4-14', 'Primary'),
('8954 Pine Boulevard', '5846970571', '1989-3-25', '2024-4-14', 'Primary'),
('6544 Pine Terrace', '8850709801', '2016-2-13', '2020-5-1', 'Secondary'),
('6544 Pine Terrace', '8296172198', '2023-10-2', '2023-10-11', 'Secondary'),
